,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,,,1.0,14.0,20.0,19.0,32.0,86.0
1999,58.0,19.0,52.0,4.0,1.0,,,3.0,3.0,4.0,15.0,12.0,171.0
2000,11.0,16.0,32.0,20.0,1.0,,,4.0,22.0,13.0,2.0,2.0,123.0
2001,5.0,4.0,,,2.0,2.0,,1.0,5.0,15.0,22.0,30.0,86.0
2002,12.0,15.0,27.0,6.0,1.0,,7.0,5.0,23.0,35.0,58.0,102.0,291.0
2003,147.0,52.0,32.0,22.0,7.0,5.0,4.0,7.0,8.0,18.0,20.0,51.0,373.0
2004,13.0,15.0,34.0,10.0,3.0,1.0,3.0,2.0,11.0,23.0,38.0,80.0,233.0
2005,91.0,47.0,45.0,3.0,,3.0,2.0,9.0,14.0,20.0,32.0,26.0,292.0
2006,36.0,32.0,46.0,7.0,2.0,,3.0,5.0,13.0,39.0,25.0,60.0,268.0
2007,33.0,33.0,12.0,16.0,2.0,1.0,6.0,3.0,12.0,25.0,44.0,75.0,262.0
2008,52.0,83.0,47.0,26.0,8.0,1.0,,3.0,14.0,32.0,73.0,70.0,409.0
2009,112.0,33.0,47.0,5.0,,,1.0,,16.0,26.0,56.0,64.0,360.0
2010,32.0,39.0,87.0,5.0,,2.0,1.0,4.0,17.0,14.0,46.0,52.0,299.0
2011,45.0,35.0,45.0,19.0,,2.0,,11.0,3.0,24.0,26.0,57.0,267.0
2012,43.0,52.0,58.0,18.0,23.0,5.0,1.0,,6.0,31.0,85.0,55.0,377.0
2013,45.0,22.0,36.0,20.0,2.0,2.0,1.0,,5.0,23.0,8.0,37.0,201.0
2014,49.0,26.0,19.0,15.0,1.0,2.0,1.0,3.0,11.0,3.0,9.0,26.0,165.0
2015,64.0,40.0,27.0,46.0,17.0,2.0,,3.0,4.0,28.0,118.0,111.0,460.0
2016,22.0,14.0,10.0,14.0,4.0,5.0,5.0,4.0,15.0,63.0,79.0,153.0,388.0
2017,38.0,16.0,19.0,6.0,1.0,1.0,,1.0,4.0,12.0,11.0,20.0,129.0
2018,17.0,16.0,13.0,2.0,,6.0,,12.0,7.0,52.0,41.0,35.0,201.0
2019,32.0,9.0,11.0,5.0,5.0,3.0,2.0,6.0,12.0,20.0,60.0,67.0,232.0
2020,45.0,21.0,12.0,5.0,1.0,,3.0,5.0,4.0,25.0,10.0,28.0,159.0
2021,21.0,37.0,34.0,24.0,1.0,,,2.0,8.0,15.0,20.0,11.0,173.0
2022,19.0,29.0,24.0,3.0,3.0,,1.0,,12.0,17.0,10.0,22.0,140.0
2023,22.0,15.0,26.0,29.0,4.0,1.0,6.0,8.0,10.0,30.0,38.0,38.0,227.0
2024,41.0,28.0,40.0,10.0,1.0,,1.0,9.0,15.0,28.0,47.0,65.0,285.0
2025,28.0,22.0,22.0,25.0,19.0,6.0,,1.0,3.0,14.0,,,140.0
Máximo*,147.0,83.0,87.0,46.0,23.0,6.0,7.0,12.0,23.0,63.0,118.0,153.0,460.0
Média*,42.0,29.0,33.0,14.0,4.0,3.0,3.0,5.0,11.0,24.0,37.0,51.0,247.0
Mínimo*,5.0,4.0,10.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,86.0
