,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,55.0,219.0,813.0,2719.0,1970.0,49.0,82.0,5907.0
1999,114.0,157.0,83.0,55.0,76.0,62.0,107.0,453.0,1273.0,1308.0,49.0,37.0,3774.0
2000,31.0,32.0,65.0,23.0,71.0,176.0,199.0,629.0,2284.0,3350.0,114.0,24.0,6998.0
2001,25.0,101.0,4.0,26.0,84.0,98.0,245.0,978.0,3957.0,1687.0,699.0,158.0,8062.0
2002,124.0,204.0,146.0,108.0,164.0,116.0,611.0,1812.0,7167.0,5415.0,1169.0,1012.0,18048.0
2003,560.0,306.0,401.0,512.0,226.0,362.0,557.0,1078.0,9547.0,4515.0,655.0,865.0,19584.0
2004,201.0,193.0,179.0,200.0,251.0,306.0,355.0,1512.0,7395.0,5701.0,2016.0,674.0,18983.0
2005,414.0,227.0,234.0,180.0,168.0,240.0,424.0,1141.0,4244.0,9031.0,1801.0,343.0,18447.0
2006,315.0,433.0,291.0,117.0,172.0,220.0,482.0,1318.0,3171.0,2395.0,810.0,494.0,10218.0
2007,451.0,136.0,249.0,240.0,417.0,619.0,1375.0,4270.0,10076.0,7548.0,3308.0,779.0,29468.0
2008,376.0,281.0,201.0,229.0,217.0,207.0,554.0,1032.0,4961.0,7949.0,4599.0,175.0,20781.0
2009,227.0,175.0,329.0,56.0,48.0,117.0,340.0,450.0,3580.0,2742.0,525.0,367.0,8956.0
2010,368.0,272.0,192.0,136.0,254.0,430.0,663.0,2635.0,5780.0,5375.0,694.0,264.0,17063.0
2011,135.0,177.0,158.0,204.0,225.0,376.0,578.0,1524.0,6967.0,2306.0,197.0,289.0,13136.0
2012,226.0,242.0,472.0,428.0,335.0,387.0,909.0,1810.0,6815.0,4529.0,214.0,529.0,16896.0
2013,161.0,282.0,441.0,125.0,176.0,228.0,378.0,602.0,2617.0,1866.0,248.0,107.0,7231.0
2014,123.0,84.0,128.0,157.0,201.0,235.0,235.0,606.0,2472.0,2515.0,308.0,126.0,7190.0
2015,240.0,124.0,183.0,122.0,133.0,233.0,300.0,791.0,6921.0,4695.0,1569.0,1202.0,16513.0
2016,240.0,340.0,237.0,193.0,240.0,388.0,340.0,727.0,1729.0,1312.0,402.0,163.0,6311.0
2017,150.0,91.0,160.0,91.0,124.0,213.0,234.0,809.0,1146.0,3144.0,222.0,66.0,6450.0
2018,102.0,45.0,126.0,71.0,101.0,190.0,281.0,477.0,1930.0,1345.0,169.0,119.0,4956.0
2019,212.0,432.0,475.0,141.0,142.0,186.0,337.0,542.0,1896.0,1783.0,924.0,301.0,7371.0
2020,164.0,153.0,92.0,98.0,95.0,244.0,341.0,437.0,1918.0,3666.0,447.0,257.0,7912.0
2021,220.0,96.0,530.0,180.0,447.0,367.0,732.0,1470.0,6491.0,3630.0,135.0,61.0,14359.0
2022,149.0,137.0,233.0,108.0,396.0,632.0,530.0,947.0,2770.0,3675.0,119.0,124.0,9820.0
2023,167.0,222.0,206.0,269.0,465.0,433.0,701.0,694.0,3298.0,3279.0,1295.0,888.0,11917.0
2024,268.0,133.0,408.0,186.0,384.0,446.0,655.0,949.0,2753.0,2198.0,324.0,456.0,9160.0
2025,217.0,227.0,342.0,331.0,357.0,518.0,771.0,1345.0,3337.0,2578.0,,,10023.0
Máximo*,560.0,433.0,530.0,512.0,465.0,632.0,1375.0,4270.0,10076.0,9031.0,4599.0,1202.0,29468.0
Média*,222.0,195.0,239.0,164.0,216.0,280.0,470.0,1130.0,4292.0,3664.0,854.0,369.0,12056.0
Mínimo*,25.0,32.0,4.0,23.0,48.0,55.0,107.0,437.0,1146.0,1308.0,49.0,24.0,3774.0
