,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,1.0,76.0,95.0,601.0,1019.0,575.0,277.0,2644.0
1999,47.0,17.0,30.0,6.0,5.0,16.0,84.0,135.0,132.0,314.0,526.0,396.0,1708.0
2000,1.0,7.0,10.0,16.0,7.0,16.0,20.0,81.0,130.0,876.0,671.0,389.0,2224.0
2001,11.0,,,2.0,81.0,38.0,147.0,224.0,808.0,2051.0,2461.0,545.0,6368.0
2002,33.0,76.0,17.0,6.0,10.0,13.0,23.0,136.0,241.0,1954.0,3259.0,2409.0,8177.0
2003,323.0,10.0,6.0,4.0,7.0,9.0,41.0,133.0,420.0,2465.0,4760.0,3448.0,11626.0
2004,213.0,11.0,3.0,1.0,7.0,8.0,22.0,69.0,207.0,1610.0,3615.0,4816.0,10582.0
2005,476.0,41.0,7.0,7.0,2.0,7.0,33.0,71.0,187.0,1659.0,3434.0,2600.0,8524.0
2006,298.0,31.0,8.0,4.0,,3.0,18.0,80.0,265.0,932.0,2077.0,2451.0,6167.0
2007,428.0,5.0,7.0,5.0,11.0,14.0,35.0,237.0,354.0,1457.0,2639.0,2335.0,7527.0
2008,230.0,29.0,,,,6.0,13.0,58.0,199.0,1014.0,2668.0,3414.0,7631.0
2009,464.0,16.0,1.0,,1.0,,9.0,32.0,93.0,526.0,1978.0,2327.0,5447.0
2010,355.0,76.0,46.0,11.0,6.0,21.0,58.0,206.0,383.0,676.0,2327.0,769.0,4934.0
2011,39.0,9.0,3.0,1.0,4.0,7.0,24.0,42.0,226.0,478.0,2062.0,1903.0,4798.0
2012,308.0,44.0,13.0,2.0,23.0,33.0,50.0,267.0,512.0,1102.0,1165.0,789.0,4308.0
2013,135.0,55.0,24.0,7.0,9.0,12.0,8.0,36.0,177.0,472.0,986.0,910.0,2831.0
2014,119.0,9.0,4.0,3.0,4.0,15.0,39.0,133.0,136.0,444.0,761.0,660.0,2327.0
2015,189.0,20.0,14.0,,17.0,17.0,23.0,118.0,183.0,603.0,1009.0,965.0,3158.0
2016,103.0,12.0,6.0,11.0,7.0,32.0,106.0,286.0,335.0,1241.0,1373.0,804.0,4316.0
2017,91.0,10.0,4.0,3.0,6.0,6.0,15.0,98.0,336.0,793.0,953.0,1171.0,3486.0
2018,166.0,6.0,8.0,1.0,2.0,17.0,29.0,202.0,429.0,591.0,860.0,723.0,3034.0
2019,194.0,12.0,3.0,1.0,3.0,9.0,18.0,138.0,460.0,1373.0,1324.0,769.0,4304.0
2020,94.0,8.0,2.0,,3.0,12.0,63.0,209.0,440.0,913.0,1279.0,956.0,3979.0
2021,187.0,64.0,13.0,6.0,13.0,25.0,35.0,258.0,411.0,905.0,1680.0,782.0,4379.0
2022,37.0,21.0,8.0,1.0,3.0,15.0,37.0,140.0,209.0,793.0,1427.0,1445.0,4136.0
2023,208.0,36.0,18.0,8.0,10.0,15.0,73.0,179.0,636.0,1969.0,1830.0,1826.0,6808.0
2024,330.0,42.0,16.0,10.0,14.0,30.0,58.0,189.0,297.0,1169.0,2475.0,2530.0,7160.0
2025,248.0,41.0,16.0,17.0,32.0,50.0,100.0,198.0,647.0,796.0,,,2145.0
Máximo*,476.0,76.0,46.0,16.0,81.0,38.0,147.0,286.0,808.0,2465.0,4760.0,4816.0,11626.0
Média*,195.0,27.0,11.0,5.0,11.0,15.0,43.0,143.0,326.0,1089.0,1858.0,1571.0,5281.0
Mínimo*,1.0,5.0,1.0,1.0,1.0,1.0,8.0,32.0,93.0,314.0,526.0,277.0,1708.0
