,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,6.0,37.0,38.0,110.0,20.0,4.0,5.0,220.0
1999,33.0,10.0,8.0,2.0,16.0,6.0,9.0,60.0,64.0,23.0,9.0,,240.0
2000,5.0,5.0,1.0,3.0,2.0,9.0,16.0,26.0,14.0,88.0,3.0,3.0,175.0
2001,1.0,5.0,2.0,2.0,8.0,9.0,12.0,31.0,38.0,19.0,3.0,1.0,131.0
2002,2.0,4.0,4.0,2.0,5.0,18.0,16.0,76.0,76.0,151.0,26.0,22.0,402.0
2003,12.0,14.0,46.0,31.0,16.0,76.0,91.0,142.0,276.0,185.0,55.0,32.0,976.0
2004,,8.0,2.0,10.0,4.0,2.0,14.0,31.0,77.0,53.0,56.0,10.0,267.0
2005,7.0,1.0,11.0,9.0,7.0,9.0,15.0,30.0,10.0,84.0,3.0,13.0,199.0
2006,13.0,53.0,26.0,6.0,16.0,35.0,57.0,90.0,103.0,18.0,4.0,10.0,431.0
2007,3.0,5.0,16.0,16.0,23.0,34.0,70.0,96.0,92.0,172.0,185.0,45.0,757.0
2008,20.0,23.0,7.0,6.0,9.0,25.0,36.0,57.0,95.0,116.0,9.0,9.0,412.0
2009,3.0,13.0,14.0,6.0,8.0,16.0,28.0,21.0,62.0,14.0,23.0,31.0,239.0
2010,55.0,27.0,5.0,13.0,11.0,25.0,6.0,39.0,65.0,34.0,3.0,12.0,295.0
2011,6.0,49.0,5.0,8.0,7.0,15.0,27.0,83.0,115.0,35.0,8.0,6.0,364.0
2012,,27.0,38.0,76.0,25.0,21.0,45.0,17.0,39.0,66.0,7.0,23.0,384.0
2013,14.0,21.0,18.0,19.0,13.0,24.0,29.0,58.0,28.0,32.0,11.0,8.0,275.0
2014,11.0,16.0,15.0,8.0,15.0,8.0,11.0,36.0,52.0,82.0,17.0,25.0,296.0
2015,77.0,59.0,23.0,25.0,11.0,16.0,25.0,28.0,198.0,290.0,131.0,57.0,940.0
2016,37.0,19.0,103.0,49.0,42.0,45.0,38.0,75.0,112.0,60.0,7.0,12.0,599.0
2017,14.0,7.0,9.0,7.0,9.0,23.0,3.0,26.0,31.0,46.0,12.0,,187.0
2018,6.0,1.0,9.0,7.0,4.0,12.0,41.0,9.0,51.0,36.0,11.0,18.0,205.0
2019,25.0,32.0,22.0,21.0,10.0,19.0,78.0,35.0,171.0,73.0,123.0,13.0,622.0
2020,10.0,11.0,6.0,8.0,11.0,51.0,34.0,25.0,131.0,82.0,10.0,22.0,401.0
2021,44.0,13.0,45.0,25.0,47.0,26.0,85.0,92.0,123.0,38.0,9.0,2.0,549.0
2022,11.0,5.0,25.0,21.0,26.0,53.0,57.0,85.0,87.0,93.0,5.0,6.0,474.0
2023,4.0,15.0,22.0,4.0,12.0,30.0,62.0,30.0,53.0,59.0,183.0,69.0,543.0
2024,22.0,3.0,18.0,21.0,29.0,60.0,81.0,100.0,251.0,44.0,17.0,16.0,662.0
2025,6.0,29.0,24.0,12.0,7.0,31.0,52.0,94.0,60.0,24.0,,,339.0
Máximo*,77.0,59.0,103.0,76.0,47.0,76.0,91.0,142.0,276.0,290.0,185.0,69.0,976.0
Média*,18.0,17.0,19.0,16.0,15.0,25.0,38.0,53.0,93.0,75.0,35.0,19.0,416.0
Mínimo*,1.0,1.0,1.0,2.0,2.0,2.0,3.0,9.0,10.0,14.0,3.0,1.0,131.0
