,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,172.0,512.0,2216.0,2870.0,1036.0,48.0,13.0,6867.0
1999,14.0,334.0,1.0,25.0,98.0,252.0,311.0,1198.0,1898.0,743.0,111.0,20.0,5005.0
2000,10.0,11.0,4.0,16.0,58.0,222.0,332.0,925.0,1294.0,906.0,26.0,6.0,3810.0
2001,28.0,9.0,10.0,49.0,85.0,209.0,370.0,788.0,1861.0,477.0,15.0,18.0,3919.0
2002,12.0,9.0,48.0,78.0,171.0,303.0,792.0,1498.0,4412.0,1665.0,273.0,118.0,9379.0
2003,13.0,55.0,34.0,127.0,265.0,855.0,867.0,975.0,1978.0,1318.0,212.0,175.0,6874.0
2004,15.0,14.0,59.0,84.0,313.0,515.0,852.0,1618.0,3544.0,1548.0,356.0,94.0,9012.0
2005,30.0,110.0,46.0,150.0,269.0,248.0,536.0,970.0,1565.0,2018.0,169.0,17.0,6128.0
2006,104.0,28.0,42.0,61.0,192.0,298.0,502.0,948.0,1630.0,270.0,254.0,58.0,4387.0
2007,48.0,20.0,104.0,83.0,349.0,690.0,925.0,2948.0,4978.0,2169.0,240.0,85.0,12639.0
2008,33.0,25.0,23.0,64.0,200.0,209.0,552.0,987.0,1464.0,1425.0,195.0,63.0,5240.0
2009,47.0,45.0,60.0,37.0,136.0,201.0,481.0,638.0,709.0,413.0,111.0,42.0,2920.0
2010,60.0,100.0,96.0,144.0,280.0,723.0,1224.0,3336.0,5906.0,1418.0,79.0,53.0,13419.0
2011,40.0,56.0,26.0,111.0,161.0,333.0,600.0,1549.0,2250.0,539.0,76.0,25.0,5766.0
2012,22.0,29.0,71.0,116.0,123.0,254.0,556.0,899.0,2334.0,1450.0,64.0,113.0,6031.0
2013,43.0,67.0,74.0,61.0,187.0,202.0,356.0,527.0,735.0,567.0,162.0,69.0,3050.0
2014,60.0,34.0,54.0,117.0,197.0,302.0,424.0,1201.0,1568.0,1728.0,160.0,52.0,5897.0
2015,105.0,43.0,48.0,58.0,117.0,263.0,320.0,876.0,2033.0,1607.0,490.0,147.0,6107.0
2016,27.0,69.0,107.0,152.0,210.0,261.0,815.0,1038.0,1571.0,488.0,115.0,59.0,4912.0
2017,46.0,64.0,91.0,58.0,138.0,308.0,433.0,1109.0,2155.0,1858.0,125.0,43.0,6428.0
2018,54.0,41.0,113.0,74.0,181.0,183.0,405.0,518.0,1070.0,345.0,36.0,90.0,3110.0
2019,129.0,88.0,138.0,83.0,134.0,217.0,403.0,698.0,4149.0,873.0,160.0,88.0,7160.0
2020,60.0,92.0,124.0,156.0,150.0,314.0,402.0,964.0,1825.0,1622.0,229.0,70.0,6008.0
2021,63.0,89.0,86.0,110.0,255.0,401.0,627.0,1056.0,2634.0,576.0,71.0,52.0,6020.0
2022,69.0,96.0,120.0,124.0,415.0,394.0,553.0,975.0,1151.0,752.0,119.0,28.0,4796.0
2023,12.0,88.0,104.0,134.0,292.0,343.0,366.0,488.0,651.0,369.0,181.0,132.0,3160.0
2024,126.0,120.0,219.0,115.0,230.0,260.0,495.0,1120.0,3111.0,451.0,49.0,66.0,6362.0
2025,104.0,66.0,96.0,45.0,151.0,241.0,327.0,892.0,1625.0,949.0,,,4496.0
Máximo*,129.0,334.0,219.0,156.0,415.0,855.0,1224.0,3336.0,5906.0,2169.0,490.0,175.0,13419.0
Média*,49.0,67.0,73.0,92.0,200.0,331.0,556.0,1188.0,2272.0,1060.0,153.0,67.0,6089.0
Mínimo*,10.0,9.0,1.0,16.0,58.0,172.0,311.0,488.0,651.0,270.0,15.0,6.0,2920.0
