,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,78.0,276.0,1177.0,3933.0,5140.0,2235.0,1396.0,14235.0
1999,54.0,6.0,17.0,4.0,3.0,32.0,258.0,897.0,1739.0,3207.0,1494.0,1001.0,8712.0
2000,19.0,11.0,6.0,6.0,28.0,94.0,233.0,839.0,1364.0,2654.0,2267.0,1462.0,8983.0
2001,29.0,1.0,,2.0,21.0,101.0,549.0,2035.0,4550.0,6597.0,3521.0,1290.0,18696.0
2002,49.0,116.0,16.0,28.0,71.0,227.0,1675.0,3789.0,5543.0,7152.0,8421.0,3377.0,30464.0
2003,575.0,13.0,24.0,112.0,236.0,865.0,2675.0,2407.0,7799.0,8588.0,7536.0,3718.0,34548.0
2004,338.0,24.0,43.0,98.0,324.0,818.0,1677.0,2426.0,6807.0,5386.0,10348.0,5296.0,33585.0
2005,674.0,73.0,19.0,99.0,108.0,662.0,1984.0,3118.0,7805.0,8704.0,6670.0,3775.0,33691.0
2006,386.0,36.0,19.0,20.0,89.0,520.0,1416.0,2416.0,3782.0,4270.0,6879.0,3469.0,23302.0
2007,634.0,21.0,89.0,76.0,294.0,1477.0,2786.0,10780.0,11245.0,9694.0,5191.0,2478.0,44765.0
2008,203.0,59.0,6.0,40.0,101.0,687.0,1542.0,1777.0,3575.0,5018.0,5728.0,3386.0,22122.0
2009,400.0,30.0,39.0,27.0,25.0,312.0,1182.0,2181.0,3107.0,2839.0,6505.0,2485.0,19132.0
2010,457.0,104.0,129.0,143.0,300.0,1225.0,2601.0,6826.0,11813.0,4095.0,6082.0,2502.0,36277.0
2011,195.0,14.0,43.0,46.0,98.0,689.0,1159.0,2192.0,5086.0,3171.0,4038.0,2584.0,19315.0
2012,461.0,84.0,54.0,114.0,370.0,987.0,3693.0,10519.0,7376.0,5911.0,2644.0,2086.0,34299.0
2013,316.0,72.0,45.0,83.0,132.0,603.0,1332.0,2374.0,4312.0,3221.0,2368.0,2597.0,17455.0
2014,291.0,17.0,40.0,66.0,140.0,786.0,2027.0,5338.0,4357.0,5574.0,3710.0,2329.0,24675.0
2015,458.0,78.0,41.0,103.0,184.0,850.0,1616.0,5411.0,5502.0,6387.0,4159.0,3647.0,28436.0
2016,395.0,268.0,70.0,103.0,186.0,693.0,2182.0,3849.0,3109.0,5617.0,3826.0,1491.0,21789.0
2017,178.0,44.0,32.0,90.0,157.0,644.0,1973.0,3001.0,9243.0,4538.0,2706.0,2970.0,25576.0
2018,281.0,15.0,93.0,50.0,203.0,738.0,1457.0,2833.0,3177.0,1832.0,2309.0,904.0,13892.0
2019,712.0,74.0,57.0,63.0,139.0,749.0,1078.0,3366.0,3667.0,3645.0,3158.0,1813.0,18521.0
2020,86.0,72.0,39.0,93.0,231.0,757.0,1871.0,2162.0,4403.0,3394.0,2481.0,1228.0,16817.0
2021,228.0,128.0,62.0,96.0,471.0,979.0,1507.0,3322.0,2469.0,3069.0,2502.0,1244.0,16077.0
2022,185.0,92.0,44.0,66.0,454.0,917.0,2170.0,3473.0,4166.0,4495.0,2621.0,1541.0,20224.0
2023,298.0,135.0,106.0,155.0,478.0,1338.0,2405.0,2431.0,4719.0,4283.0,2893.0,1872.0,21113.0
2024,457.0,98.0,159.0,95.0,434.0,1166.0,2320.0,2892.0,4132.0,4500.0,4046.0,2580.0,22879.0
2025,434.0,105.0,63.0,134.0,455.0,755.0,1548.0,2493.0,4595.0,3102.0,,,13684.0
Máximo*,712.0,268.0,159.0,155.0,478.0,1477.0,3693.0,10780.0,11813.0,9694.0,10348.0,5296.0,44765.0
Média*,322.0,65.0,52.0,72.0,203.0,703.0,1691.0,3475.0,5140.0,4925.0,4309.0,2390.0,23318.0
Mínimo*,19.0,1.0,6.0,2.0,3.0,32.0,233.0,839.0,1364.0,1832.0,1494.0,904.0,8712.0
