,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,2200.0,3711.0,15404.0,10360.0,2705.0,182.0,76.0,34638.0
1999,39.0,28.0,18.0,76.0,730.0,2201.0,3926.0,18563.0,11726.0,6111.0,842.0,47.0,44307.0
2000,44.0,35.0,60.0,59.0,1192.0,4358.0,1335.0,6059.0,6251.0,6063.0,502.0,98.0,26056.0
2001,44.0,54.0,24.0,309.0,1191.0,6641.0,1554.0,7755.0,8487.0,6544.0,373.0,37.0,33013.0
2002,172.0,22.0,103.0,641.0,2522.0,7879.0,6932.0,16911.0,18707.0,10863.0,3247.0,1127.0,69126.0
2003,883.0,566.0,541.0,930.0,2765.0,9038.0,12311.0,12841.0,19936.0,6660.0,2443.0,1646.0,70560.0
2004,261.0,397.0,822.0,946.0,4053.0,11530.0,13214.0,16025.0,34088.0,11405.0,2825.0,1446.0,97012.0
2005,440.0,951.0,423.0,1010.0,2259.0,2696.0,6543.0,18153.0,27674.0,9852.0,1539.0,564.0,72104.0
2006,1000.0,414.0,474.0,428.0,1013.0,2398.0,4561.0,9975.0,17382.0,2818.0,2711.0,305.0,43479.0
2007,470.0,280.0,679.0,809.0,1546.0,3552.0,4217.0,18331.0,37231.0,11291.0,1025.0,537.0,79968.0
2008,232.0,208.0,227.0,358.0,522.0,1147.0,2497.0,5259.0,9639.0,7778.0,984.0,597.0,29448.0
2009,615.0,203.0,379.0,255.0,601.0,1148.0,1730.0,2326.0,3692.0,3173.0,730.0,207.0,15059.0
2010,327.0,440.0,663.0,893.0,1382.0,2186.0,4037.0,17459.0,24140.0,5433.0,920.0,1133.0,59013.0
2011,206.0,147.0,301.0,467.0,640.0,1074.0,1066.0,2652.0,6634.0,2533.0,1198.0,453.0,17371.0
2012,179.0,200.0,419.0,560.0,958.0,1933.0,2120.0,6429.0,10620.0,3475.0,488.0,572.0,27953.0
2013,276.0,374.0,636.0,411.0,962.0,1388.0,1711.0,3739.0,5915.0,1828.0,906.0,408.0,18554.0
2014,244.0,134.0,481.0,658.0,803.0,1696.0,2112.0,6418.0,6569.0,4657.0,836.0,347.0,24955.0
2015,720.0,396.0,517.0,638.0,437.0,1328.0,1461.0,4498.0,8933.0,5730.0,1670.0,1413.0,27741.0
2016,300.0,763.0,934.0,1351.0,929.0,1306.0,3301.0,6168.0,8284.0,2715.0,855.0,399.0,27305.0
2017,457.0,295.0,698.0,708.0,844.0,1476.0,2100.0,4578.0,14840.0,3738.0,928.0,249.0,30911.0
2018,317.0,266.0,766.0,426.0,985.0,1623.0,1816.0,2650.0,6638.0,1711.0,363.0,471.0,18032.0
2019,576.0,709.0,1188.0,708.0,1118.0,2151.0,2326.0,8030.0,10747.0,1774.0,1176.0,666.0,31169.0
2020,768.0,806.0,1270.0,992.0,951.0,1960.0,2429.0,10430.0,20312.0,5259.0,1919.0,612.0,47708.0
2021,479.0,578.0,518.0,631.0,1149.0,2185.0,1715.0,6617.0,5602.0,2358.0,443.0,245.0,22520.0
2022,556.0,472.0,543.0,526.0,2533.0,2210.0,1919.0,7699.0,8876.0,1548.0,1746.0,411.0,29039.0
2023,240.0,515.0,576.0,644.0,1666.0,2447.0,1453.0,2626.0,4219.0,2454.0,3705.0,1178.0,21723.0
2024,847.0,863.0,1624.0,797.0,1996.0,2671.0,2472.0,14617.0,19964.0,3814.0,435.0,451.0,50551.0
2025,256.0,239.0,429.0,222.0,816.0,1576.0,1017.0,2322.0,2294.0,1164.0,,,10335.0
Máximo*,1000.0,951.0,1624.0,1351.0,4053.0,11530.0,13214.0,18563.0,37231.0,11405.0,3705.0,1646.0,97012.0
Média*,411.0,389.0,572.0,624.0,1375.0,3053.0,3503.0,9341.0,13610.0,4974.0,1296.0,581.0,39604.0
Mínimo*,39.0,22.0,18.0,59.0,437.0,1074.0,1066.0,2326.0,3692.0,1548.0,182.0,37.0,15059.0
