,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,82.0,360.0,228.0,457.0,576.0,307.0,101.0,2111.0
1999,239.0,69.0,100.0,97.0,206.0,125.0,1297.0,4356.0,2971.0,2056.0,1195.0,306.0,13017.0
2000,326.0,81.0,23.0,90.0,127.0,157.0,160.0,530.0,509.0,657.0,274.0,139.0,3073.0
2001,97.0,90.0,39.0,108.0,112.0,250.0,590.0,2450.0,1384.0,563.0,220.0,143.0,6046.0
2002,305.0,98.0,115.0,230.0,88.0,520.0,1064.0,4183.0,2930.0,2586.0,1938.0,486.0,14543.0
2003,238.0,142.0,159.0,177.0,273.0,499.0,571.0,1002.0,1185.0,710.0,476.0,180.0,5612.0
2004,375.0,271.0,323.0,175.0,58.0,550.0,598.0,1605.0,3070.0,1104.0,312.0,175.0,8616.0
2005,71.0,301.0,261.0,251.0,483.0,557.0,1364.0,6141.0,2291.0,806.0,226.0,152.0,12904.0
2006,72.0,149.0,166.0,106.0,298.0,285.0,728.0,1570.0,1199.0,333.0,250.0,88.0,5244.0
2007,23.0,137.0,179.0,169.0,242.0,530.0,592.0,2279.0,5380.0,1268.0,245.0,95.0,11139.0
2008,59.0,108.0,128.0,116.0,152.0,163.0,358.0,823.0,1754.0,515.0,182.0,472.0,4830.0
2009,310.0,173.0,150.0,639.0,866.0,434.0,369.0,818.0,1165.0,895.0,409.0,85.0,6313.0
2010,80.0,167.0,178.0,162.0,132.0,408.0,701.0,1901.0,2197.0,746.0,335.0,349.0,7356.0
2011,148.0,66.0,47.0,31.0,106.0,117.0,270.0,567.0,1048.0,348.0,439.0,544.0,3731.0
2012,187.0,127.0,192.0,105.0,154.0,110.0,553.0,2782.0,2166.0,689.0,150.0,213.0,7428.0
2013,161.0,107.0,160.0,93.0,96.0,46.0,226.0,715.0,1088.0,393.0,368.0,162.0,3615.0
2014,156.0,119.0,72.0,113.0,68.0,81.0,190.0,296.0,343.0,529.0,175.0,72.0,2214.0
2015,176.0,106.0,119.0,54.0,54.0,289.0,355.0,1200.0,1263.0,451.0,228.0,322.0,4617.0
2016,108.0,119.0,101.0,141.0,98.0,132.0,673.0,1292.0,2292.0,1070.0,235.0,112.0,6373.0
2017,322.0,146.0,164.0,69.0,69.0,150.0,817.0,1159.0,2084.0,541.0,136.0,80.0,5737.0
2018,47.0,50.0,163.0,94.0,100.0,131.0,333.0,442.0,642.0,124.0,56.0,198.0,2380.0
2019,542.0,290.0,159.0,70.0,113.0,397.0,748.0,2430.0,3210.0,2310.0,1243.0,141.0,11653.0
2020,226.0,250.0,575.0,813.0,355.0,508.0,1305.0,2508.0,3097.0,1949.0,299.0,195.0,12080.0
2021,44.0,136.0,129.0,193.0,215.0,257.0,916.0,2646.0,2739.0,1695.0,205.0,202.0,9377.0
2022,205.0,182.0,106.0,100.0,333.0,191.0,443.0,230.0,245.0,51.0,100.0,182.0,2368.0
2023,103.0,71.0,118.0,64.0,205.0,270.0,307.0,239.0,339.0,495.0,1815.0,503.0,4529.0
2024,369.0,170.0,309.0,113.0,302.0,2737.0,1419.0,4648.0,1965.0,894.0,60.0,55.0,13041.0
2025,127.0,124.0,69.0,23.0,132.0,135.0,251.0,251.0,311.0,241.0,,,1664.0
Máximo*,542.0,301.0,575.0,813.0,866.0,2737.0,1419.0,6141.0,5380.0,2586.0,1938.0,544.0,14543.0
Média*,192.0,143.0,163.0,168.0,204.0,369.0,641.0,1816.0,1815.0,902.0,440.0,213.0,7035.0
Mínimo*,23.0,50.0,23.0,31.0,54.0,46.0,160.0,228.0,245.0,51.0,56.0,55.0,2111.0
