,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,70.0,231.0,878.0,1977.0,1091.0,31.0,21.0,4299.0
1999,36.0,112.0,13.0,27.0,51.0,133.0,319.0,1193.0,2687.0,1361.0,271.0,32.0,6235.0
2000,24.0,20.0,24.0,49.0,67.0,135.0,345.0,770.0,1080.0,1954.0,43.0,14.0,4525.0
2001,18.0,39.0,13.0,60.0,83.0,165.0,265.0,858.0,1597.0,529.0,62.0,44.0,3733.0
2002,29.0,62.0,62.0,99.0,98.0,207.0,888.0,2142.0,3818.0,4660.0,486.0,280.0,12831.0
2003,47.0,181.0,123.0,265.0,369.0,1065.0,1465.0,2094.0,7489.0,5540.0,508.0,280.0,19426.0
2004,29.0,36.0,125.0,161.0,237.0,303.0,831.0,1865.0,5288.0,3062.0,1066.0,226.0,13229.0
2005,52.0,106.0,157.0,227.0,230.0,336.0,874.0,1520.0,2301.0,7145.0,548.0,206.0,13702.0
2006,168.0,135.0,103.0,153.0,379.0,444.0,1277.0,1948.0,3077.0,815.0,195.0,138.0,8832.0
2007,115.0,99.0,263.0,188.0,473.0,884.0,1429.0,3681.0,6800.0,5880.0,2306.0,396.0,22514.0
2008,99.0,84.0,113.0,172.0,285.0,283.0,767.0,1448.0,2765.0,4299.0,1436.0,137.0,11888.0
2009,82.0,104.0,132.0,61.0,200.0,216.0,515.0,702.0,1380.0,1128.0,310.0,106.0,4936.0
2010,132.0,185.0,121.0,144.0,246.0,619.0,1040.0,3634.0,5200.0,2196.0,119.0,130.0,13766.0
2011,112.0,131.0,82.0,97.0,201.0,387.0,889.0,2445.0,5930.0,1251.0,192.0,49.0,11766.0
2012,90.0,140.0,181.0,201.0,178.0,245.0,701.0,919.0,2919.0,4038.0,258.0,238.0,10108.0
2013,93.0,161.0,136.0,80.0,182.0,191.0,512.0,933.0,1618.0,1157.0,244.0,80.0,5387.0
2014,130.0,121.0,62.0,145.0,208.0,344.0,537.0,1791.0,3154.0,4373.0,349.0,123.0,11337.0
2015,127.0,69.0,62.0,85.0,109.0,192.0,272.0,962.0,2631.0,3393.0,1340.0,248.0,9490.0
2016,37.0,127.0,91.0,166.0,178.0,241.0,986.0,1563.0,1979.0,911.0,113.0,90.0,6482.0
2017,99.0,54.0,99.0,67.0,124.0,233.0,471.0,1610.0,3084.0,2336.0,145.0,61.0,8383.0
2018,62.0,60.0,107.0,56.0,153.0,201.0,557.0,553.0,1860.0,840.0,86.0,92.0,4627.0
2019,142.0,111.0,127.0,85.0,143.0,322.0,808.0,1369.0,3833.0,2049.0,892.0,118.0,9999.0
2020,80.0,114.0,82.0,83.0,166.0,272.0,536.0,1155.0,3467.0,2404.0,281.0,97.0,8737.0
2021,96.0,40.0,230.0,150.0,382.0,519.0,1302.0,1941.0,5638.0,1627.0,140.0,45.0,12110.0
2022,110.0,66.0,190.0,143.0,319.0,665.0,990.0,1120.0,2518.0,1481.0,154.0,34.0,7790.0
2023,55.0,162.0,186.0,133.0,274.0,384.0,550.0,1029.0,1793.0,919.0,642.0,371.0,6498.0
2024,65.0,82.0,194.0,153.0,379.0,658.0,1208.0,2488.0,5082.0,1216.0,155.0,107.0,11787.0
2025,115.0,186.0,160.0,108.0,203.0,349.0,615.0,1469.0,2897.0,1661.0,,,7763.0
Máximo*,168.0,185.0,263.0,265.0,473.0,1065.0,1465.0,3681.0,7489.0,7145.0,2306.0,396.0,22514.0
Média*,82.0,100.0,118.0,125.0,220.0,360.0,762.0,1578.0,3369.0,2506.0,458.0,139.0,9793.0
Mínimo*,18.0,20.0,13.0,27.0,51.0,70.0,231.0,553.0,1080.0,529.0,31.0,14.0,3733.0
