,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,58.0,639.0,6816.0,6237.0,3666.0,1862.0,1009.0,20287.0
1999,87.0,285.0,7.0,6.0,4.0,37.0,982.0,6179.0,4417.0,5026.0,2682.0,766.0,20478.0
2000,30.0,29.0,181.0,40.0,12.0,59.0,426.0,5484.0,2569.0,4308.0,3366.0,1697.0,18201.0
2001,34.0,16.0,,,7.0,42.0,709.0,9042.0,6136.0,5102.0,4936.0,2566.0,28590.0
2002,144.0,120.0,14.0,11.0,18.0,149.0,1308.0,21369.0,11379.0,7848.0,12795.0,5083.0,60238.0
2003,1440.0,23.0,28.0,14.0,112.0,403.0,3814.0,8875.0,12633.0,6673.0,10732.0,8293.0,53040.0
2004,875.0,36.0,29.0,61.0,193.0,637.0,6620.0,17861.0,14249.0,7464.0,15958.0,10231.0,74214.0
2005,2861.0,121.0,32.0,43.0,101.0,656.0,9464.0,23635.0,12728.0,8689.0,9368.0,3779.0,71477.0
2006,855.0,110.0,18.0,11.0,8.0,423.0,1955.0,15064.0,13225.0,9346.0,9684.0,5141.0,55840.0
2007,817.0,39.0,17.0,17.0,90.0,671.0,1885.0,21386.0,22055.0,8346.0,10114.0,3054.0,68491.0
2008,240.0,99.0,11.0,12.0,30.0,328.0,3020.0,11035.0,9463.0,11568.0,9456.0,3187.0,48449.0
2009,466.0,26.0,11.0,15.0,8.0,91.0,703.0,5386.0,8961.0,9444.0,12485.0,4068.0,41664.0
2010,701.0,147.0,141.0,30.0,97.0,441.0,2065.0,21677.0,15187.0,6435.0,7544.0,2731.0,57196.0
2011,219.0,25.0,16.0,10.0,21.0,199.0,1024.0,3040.0,6821.0,4588.0,5760.0,4840.0,26563.0
2012,534.0,78.0,16.0,24.0,98.0,305.0,1041.0,9168.0,8190.0,5946.0,8871.0,2950.0,37221.0
2013,291.0,47.0,20.0,29.0,74.0,323.0,793.0,3173.0,4363.0,5510.0,3844.0,5579.0,24046.0
2014,570.0,30.0,17.0,23.0,55.0,284.0,813.0,8147.0,6636.0,6241.0,7908.0,4802.0,35526.0
2015,866.0,92.0,31.0,22.0,84.0,241.0,882.0,7672.0,9394.0,7379.0,9783.0,6718.0,43164.0
2016,1479.0,370.0,53.0,51.0,148.0,509.0,1732.0,5185.0,3878.0,5954.0,7314.0,3051.0,29724.0
2017,213.0,14.0,18.0,42.0,121.0,486.0,3696.0,8781.0,15735.0,6146.0,9639.0,4879.0,49770.0
2018,536.0,36.0,51.0,13.0,78.0,454.0,929.0,2782.0,4892.0,5028.0,6276.0,1005.0,22080.0
2019,355.0,80.0,46.0,38.0,80.0,315.0,1443.0,10185.0,4618.0,3870.0,7390.0,1745.0,30165.0
2020,225.0,64.0,63.0,38.0,88.0,491.0,2687.0,10865.0,10876.0,8052.0,2970.0,2184.0,38603.0
2021,248.0,272.0,34.0,55.0,190.0,424.0,1372.0,7853.0,3828.0,4291.0,3659.0,650.0,22876.0
2022,202.0,70.0,34.0,37.0,225.0,556.0,1681.0,12472.0,12696.0,7469.0,4507.0,1472.0,41421.0
2023,330.0,94.0,94.0,58.0,224.0,682.0,2027.0,6725.0,9504.0,11378.0,8187.0,2412.0,41715.0
2024,633.0,260.0,113.0,52.0,211.0,635.0,3265.0,13803.0,17434.0,7120.0,9555.0,2989.0,56070.0
2025,356.0,90.0,68.0,77.0,207.0,405.0,837.0,1314.0,2967.0,2404.0,,,8725.0
Máximo*,2861.0,370.0,181.0,61.0,225.0,682.0,9464.0,23635.0,22055.0,11568.0,15958.0,10231.0,74214.0
Média*,587.0,99.0,44.0,30.0,91.0,367.0,2110.0,10506.0,9559.0,6774.0,7654.0,3588.0,41374.0
Mínimo*,30.0,14.0,7.0,6.0,4.0,37.0,426.0,2782.0,2569.0,3666.0,1862.0,650.0,18201.0
