,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,3.0,,3.0,50.0,178.0,47.0,53.0,334.0
1999,26.0,2.0,1.0,3.0,,1.0,1.0,4.0,14.0,49.0,38.0,40.0,179.0
2000,,11.0,5.0,1.0,,1.0,,6.0,9.0,127.0,66.0,34.0,260.0
2001,11.0,6.0,,,4.0,,9.0,34.0,98.0,278.0,296.0,70.0,806.0
2002,5.0,18.0,3.0,1.0,1.0,1.0,9.0,51.0,93.0,219.0,250.0,167.0,818.0
2003,77.0,3.0,1.0,2.0,2.0,,13.0,15.0,94.0,427.0,604.0,324.0,1562.0
2004,38.0,1.0,3.0,3.0,3.0,,3.0,24.0,52.0,205.0,391.0,385.0,1108.0
2005,169.0,22.0,16.0,4.0,,,1.0,1.0,13.0,172.0,305.0,301.0,1004.0
2006,85.0,10.0,8.0,1.0,,2.0,2.0,8.0,32.0,136.0,391.0,339.0,1014.0
2007,77.0,13.0,2.0,1.0,,,6.0,14.0,31.0,165.0,429.0,249.0,987.0
2008,88.0,20.0,6.0,2.0,,,1.0,3.0,22.0,109.0,299.0,317.0,867.0
2009,126.0,13.0,4.0,5.0,,,4.0,3.0,29.0,116.0,464.0,292.0,1056.0
2010,52.0,15.0,18.0,2.0,12.0,3.0,7.0,13.0,42.0,166.0,544.0,82.0,956.0
2011,12.0,2.0,11.0,3.0,,4.0,6.0,12.0,53.0,225.0,406.0,208.0,942.0
2012,54.0,19.0,11.0,13.0,8.0,5.0,4.0,19.0,58.0,148.0,139.0,70.0,548.0
2013,39.0,11.0,5.0,7.0,4.0,3.0,1.0,3.0,21.0,53.0,87.0,72.0,306.0
2014,64.0,5.0,16.0,7.0,1.0,,9.0,28.0,49.0,67.0,91.0,58.0,395.0
2015,36.0,15.0,6.0,11.0,6.0,,2.0,5.0,47.0,113.0,190.0,109.0,540.0
2016,16.0,3.0,3.0,1.0,1.0,3.0,20.0,50.0,111.0,283.0,130.0,87.0,708.0
2017,23.0,8.0,4.0,1.0,1.0,,1.0,2.0,22.0,102.0,114.0,85.0,363.0
2018,42.0,3.0,3.0,4.0,1.0,1.0,3.0,45.0,70.0,209.0,185.0,193.0,759.0
2019,42.0,7.0,4.0,,3.0,2.0,4.0,41.0,139.0,332.0,351.0,259.0,1184.0
2020,63.0,16.0,3.0,1.0,,4.0,5.0,50.0,156.0,248.0,181.0,183.0,910.0
2021,40.0,29.0,10.0,3.0,3.0,11.0,1.0,25.0,105.0,250.0,319.0,111.0,907.0
2022,19.0,3.0,3.0,,,4.0,3.0,24.0,46.0,131.0,340.0,227.0,800.0
2023,70.0,24.0,7.0,13.0,3.0,5.0,17.0,31.0,107.0,224.0,281.0,169.0,951.0
2024,48.0,17.0,2.0,1.0,5.0,9.0,22.0,32.0,77.0,160.0,387.0,314.0,1074.0
2025,98.0,36.0,11.0,20.0,20.0,8.0,15.0,35.0,91.0,188.0,,,522.0
Máximo*,169.0,29.0,18.0,13.0,12.0,11.0,22.0,51.0,156.0,427.0,604.0,385.0,1562.0
Média*,53.0,11.0,6.0,4.0,4.0,4.0,6.0,20.0,61.0,181.0,271.0,178.0,790.0
Mínimo*,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,49.0,38.0,34.0,179.0
