,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,36.0,59.0,42.0,61.0,61.0,143.0,82.0,484.0
1999,7.0,22.0,40.0,39.0,57.0,31.0,94.0,939.0,878.0,451.0,445.0,254.0,3257.0
2000,49.0,67.0,51.0,51.0,43.0,53.0,98.0,850.0,381.0,656.0,85.0,159.0,2543.0
2001,32.0,8.0,12.0,43.0,26.0,43.0,120.0,343.0,258.0,211.0,89.0,85.0,1270.0
2002,47.0,24.0,18.0,84.0,65.0,115.0,439.0,2216.0,2451.0,675.0,853.0,363.0,7350.0
2003,177.0,100.0,139.0,245.0,552.0,799.0,678.0,2770.0,2867.0,1480.0,720.0,339.0,10866.0
2004,206.0,92.0,169.0,172.0,45.0,394.0,418.0,1989.0,1810.0,967.0,556.0,314.0,7132.0
2005,76.0,158.0,140.0,100.0,248.0,223.0,495.0,1894.0,546.0,175.0,764.0,204.0,5023.0
2006,109.0,95.0,92.0,187.0,452.0,396.0,891.0,1681.0,1141.0,562.0,205.0,69.0,5880.0
2007,41.0,73.0,127.0,111.0,121.0,524.0,440.0,1187.0,1212.0,663.0,345.0,154.0,4998.0
2008,59.0,91.0,69.0,88.0,289.0,109.0,705.0,954.0,653.0,103.0,242.0,300.0,3662.0
2009,63.0,39.0,122.0,178.0,179.0,196.0,78.0,1287.0,198.0,508.0,120.0,57.0,3025.0
2010,22.0,58.0,39.0,99.0,102.0,286.0,419.0,1220.0,419.0,429.0,245.0,60.0,3398.0
2011,35.0,18.0,40.0,64.0,197.0,274.0,420.0,582.0,1156.0,308.0,192.0,102.0,3388.0
2012,46.0,77.0,88.0,63.0,160.0,132.0,203.0,821.0,544.0,227.0,219.0,88.0,2668.0
2013,49.0,20.0,36.0,137.0,134.0,97.0,311.0,701.0,545.0,238.0,113.0,150.0,2531.0
2014,70.0,57.0,40.0,37.0,111.0,114.0,213.0,664.0,420.0,373.0,59.0,75.0,2233.0
2015,87.0,42.0,43.0,77.0,74.0,201.0,131.0,640.0,604.0,142.0,23.0,23.0,2087.0
2016,124.0,20.0,63.0,162.0,77.0,261.0,552.0,994.0,1428.0,166.0,260.0,44.0,4151.0
2017,53.0,64.0,45.0,103.0,47.0,138.0,708.0,789.0,1120.0,108.0,319.0,98.0,3592.0
2018,16.0,75.0,21.0,158.0,241.0,158.0,481.0,672.0,310.0,112.0,116.0,151.0,2511.0
2019,92.0,24.0,45.0,59.0,47.0,266.0,418.0,1144.0,731.0,310.0,97.0,81.0,3314.0
2020,39.0,49.0,147.0,309.0,319.0,238.0,337.0,801.0,702.0,352.0,186.0,40.0,3519.0
2021,16.0,103.0,77.0,228.0,280.0,106.0,598.0,1195.0,725.0,55.0,210.0,105.0,3698.0
2022,55.0,92.0,39.0,61.0,123.0,110.0,311.0,509.0,85.0,158.0,171.0,57.0,1771.0
2023,51.0,25.0,75.0,56.0,186.0,185.0,121.0,389.0,166.0,34.0,72.0,79.0,1439.0
2024,52.0,60.0,109.0,58.0,142.0,237.0,217.0,1007.0,585.0,168.0,39.0,30.0,2704.0
2025,37.0,57.0,89.0,33.0,119.0,23.0,292.0,431.0,447.0,124.0,,,1652.0
Máximo*,206.0,158.0,169.0,309.0,552.0,799.0,891.0,2770.0,2867.0,1480.0,853.0,363.0,10866.0
Média*,64.0,60.0,73.0,114.0,166.0,212.0,369.0,1047.0,815.0,359.0,255.0,132.0,3648.0
Mínimo*,7.0,8.0,12.0,37.0,26.0,31.0,59.0,42.0,61.0,34.0,23.0,23.0,484.0
