,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,1.0,5.0,12.0,172.0,376.0,140.0,59.0,765.0
1999,102.0,14.0,27.0,2.0,6.0,7.0,2.0,3.0,57.0,174.0,39.0,16.0,449.0
2000,3.0,4.0,14.0,1.0,7.0,4.0,,31.0,134.0,408.0,64.0,22.0,692.0
2001,7.0,2.0,,2.0,5.0,2.0,6.0,27.0,296.0,455.0,203.0,62.0,1067.0
2002,10.0,19.0,24.0,5.0,13.0,1.0,7.0,34.0,439.0,657.0,516.0,260.0,1985.0
2003,202.0,43.0,13.0,10.0,10.0,4.0,12.0,35.0,575.0,989.0,634.0,243.0,2770.0
2004,41.0,12.0,12.0,10.0,5.0,8.0,17.0,43.0,219.0,659.0,528.0,449.0,2003.0
2005,238.0,43.0,46.0,7.0,2.0,3.0,4.0,15.0,164.0,452.0,474.0,363.0,1811.0
2006,151.0,49.0,25.0,8.0,5.0,1.0,4.0,13.0,143.0,365.0,603.0,392.0,1759.0
2007,145.0,18.0,6.0,9.0,6.0,5.0,11.0,23.0,205.0,833.0,557.0,339.0,2157.0
2008,184.0,60.0,34.0,7.0,2.0,1.0,6.0,8.0,95.0,303.0,517.0,403.0,1620.0
2009,286.0,31.0,24.0,7.0,1.0,2.0,2.0,8.0,165.0,267.0,528.0,393.0,1714.0
2010,62.0,54.0,69.0,6.0,8.0,5.0,11.0,27.0,181.0,387.0,951.0,158.0,1919.0
2011,67.0,25.0,50.0,26.0,3.0,5.0,3.0,29.0,205.0,530.0,401.0,378.0,1722.0
2012,161.0,75.0,68.0,49.0,44.0,16.0,11.0,25.0,171.0,265.0,177.0,123.0,1185.0
2013,56.0,33.0,39.0,8.0,9.0,14.0,7.0,14.0,136.0,157.0,102.0,121.0,696.0
2014,81.0,20.0,32.0,7.0,2.0,4.0,11.0,16.0,60.0,172.0,97.0,91.0,593.0
2015,101.0,48.0,27.0,26.0,12.0,2.0,12.0,21.0,107.0,172.0,263.0,159.0,950.0
2016,22.0,22.0,3.0,8.0,3.0,4.0,14.0,33.0,137.0,274.0,196.0,158.0,874.0
2017,52.0,24.0,9.0,8.0,13.0,4.0,1.0,18.0,54.0,216.0,91.0,73.0,563.0
2018,35.0,7.0,8.0,5.0,2.0,13.0,6.0,35.0,95.0,215.0,186.0,115.0,722.0
2019,67.0,9.0,15.0,11.0,12.0,5.0,5.0,14.0,76.0,204.0,246.0,176.0,840.0
2020,105.0,36.0,14.0,11.0,2.0,10.0,16.0,18.0,128.0,270.0,214.0,193.0,1017.0
2021,63.0,59.0,47.0,25.0,3.0,19.0,14.0,41.0,156.0,367.0,278.0,120.0,1192.0
2022,47.0,29.0,10.0,5.0,13.0,5.0,11.0,35.0,171.0,407.0,264.0,158.0,1155.0
2023,109.0,36.0,31.0,27.0,14.0,6.0,35.0,53.0,339.0,586.0,380.0,218.0,1834.0
2024,85.0,48.0,43.0,21.0,25.0,8.0,23.0,61.0,212.0,653.0,515.0,363.0,2057.0
2025,132.0,65.0,38.0,59.0,37.0,34.0,31.0,59.0,276.0,579.0,,,1310.0
Máximo*,286.0,75.0,69.0,49.0,44.0,19.0,35.0,61.0,575.0,989.0,951.0,449.0,2770.0
Média*,95.0,32.0,28.0,12.0,9.0,6.0,10.0,26.0,181.0,400.0,339.0,208.0,1337.0
Mínimo*,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,54.0,157.0,39.0,16.0,449.0
