,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,46.0,188.0,712.0,1993.0,2581.0,425.0,119.0,6064.0
1999,21.0,22.0,4.0,10.0,8.0,47.0,124.0,498.0,873.0,1441.0,336.0,75.0,3459.0
2000,5.0,12.0,14.0,15.0,25.0,18.0,75.0,416.0,1095.0,2559.0,447.0,79.0,4760.0
2001,29.0,,2.0,1.0,36.0,88.0,338.0,1131.0,2468.0,3805.0,1489.0,233.0,9620.0
2002,32.0,159.0,63.0,87.0,84.0,164.0,558.0,2288.0,3035.0,2767.0,1369.0,537.0,11143.0
2003,109.0,6.0,14.0,25.0,64.0,213.0,738.0,884.0,3711.0,2690.0,1765.0,639.0,10858.0
2004,55.0,25.0,41.0,25.0,126.0,252.0,579.0,1018.0,3181.0,2580.0,2139.0,1165.0,11186.0
2005,111.0,34.0,8.0,15.0,27.0,192.0,636.0,1124.0,3351.0,3625.0,1830.0,921.0,11874.0
2006,176.0,27.0,16.0,4.0,26.0,123.0,369.0,1244.0,1685.0,1728.0,1693.0,776.0,7867.0
2007,152.0,18.0,43.0,44.0,147.0,656.0,1571.0,4187.0,5406.0,3512.0,1505.0,737.0,17978.0
2008,71.0,24.0,5.0,9.0,40.0,106.0,237.0,532.0,1572.0,2125.0,1092.0,843.0,6656.0
2009,114.0,19.0,24.0,10.0,12.0,64.0,316.0,818.0,1785.0,1046.0,1660.0,673.0,6541.0
2010,116.0,75.0,36.0,63.0,253.0,456.0,1826.0,4102.0,5983.0,4119.0,1746.0,417.0,19192.0
2011,47.0,12.0,24.0,22.0,82.0,507.0,874.0,1843.0,4389.0,1693.0,1209.0,461.0,11163.0
2012,100.0,38.0,74.0,120.0,352.0,865.0,1746.0,3615.0,4057.0,2639.0,530.0,401.0,14537.0
2013,78.0,70.0,15.0,34.0,49.0,272.0,371.0,1033.0,2301.0,1241.0,590.0,430.0,6484.0
2014,91.0,12.0,78.0,57.0,131.0,372.0,1151.0,2169.0,2494.0,1657.0,670.0,328.0,9210.0
2015,77.0,24.0,31.0,41.0,57.0,268.0,706.0,2039.0,5151.0,4000.0,842.0,603.0,13839.0
2016,93.0,83.0,33.0,31.0,53.0,151.0,746.0,1730.0,1344.0,2544.0,1130.0,365.0,8303.0
2017,82.0,19.0,28.0,23.0,45.0,142.0,510.0,1257.0,2192.0,2342.0,552.0,465.0,7657.0
2018,84.0,8.0,43.0,11.0,118.0,382.0,1067.0,2479.0,2678.0,1641.0,591.0,329.0,9431.0
2019,115.0,35.0,46.0,25.0,67.0,340.0,561.0,2117.0,3137.0,2671.0,1211.0,569.0,10894.0
2020,47.0,38.0,28.0,35.0,54.0,148.0,511.0,919.0,2772.0,3437.0,880.0,448.0,9317.0
2021,79.0,42.0,32.0,60.0,169.0,473.0,868.0,2350.0,5106.0,2652.0,682.0,232.0,12745.0
2022,70.0,34.0,17.0,35.0,178.0,256.0,561.0,1659.0,2731.0,4071.0,859.0,395.0,10866.0
2023,96.0,52.0,63.0,80.0,111.0,432.0,974.0,1497.0,3941.0,3982.0,1156.0,573.0,12957.0
2024,153.0,41.0,126.0,54.0,166.0,281.0,609.0,1489.0,3152.0,2160.0,1443.0,913.0,10587.0
2025,127.0,78.0,53.0,62.0,223.0,358.0,933.0,1472.0,2147.0,2590.0,,,8043.0
Máximo*,176.0,159.0,126.0,120.0,352.0,865.0,1826.0,4187.0,5983.0,4119.0,2139.0,1165.0,19192.0
Média*,85.0,37.0,35.0,36.0,95.0,271.0,697.0,1672.0,3022.0,2641.0,1105.0,508.0,10192.0
Mínimo*,5.0,6.0,2.0,1.0,8.0,18.0,75.0,416.0,873.0,1046.0,336.0,75.0,3459.0
