,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,1.0,5.0,4.0,49.0,55.0,41.0,17.0,172.0
1999,32.0,10.0,9.0,21.0,1.0,4.0,7.0,38.0,35.0,40.0,61.0,29.0,287.0
2000,1.0,7.0,10.0,16.0,3.0,9.0,4.0,30.0,17.0,28.0,9.0,11.0,145.0
2001,2.0,,,10.0,56.0,13.0,23.0,55.0,43.0,34.0,40.0,20.0,296.0
2002,4.0,17.0,3.0,,6.0,1.0,11.0,52.0,74.0,181.0,223.0,259.0,831.0
2003,123.0,20.0,4.0,1.0,6.0,12.0,13.0,108.0,118.0,344.0,462.0,336.0,1547.0
2004,43.0,8.0,,3.0,5.0,9.0,5.0,18.0,59.0,120.0,211.0,344.0,825.0
2005,161.0,51.0,23.0,3.0,5.0,2.0,9.0,13.0,43.0,215.0,278.0,198.0,1001.0
2006,106.0,21.0,18.0,4.0,4.0,1.0,2.0,19.0,54.0,89.0,232.0,184.0,734.0
2007,78.0,11.0,5.0,6.0,12.0,1.0,14.0,33.0,74.0,133.0,219.0,188.0,774.0
2008,90.0,39.0,5.0,3.0,2.0,2.0,1.0,4.0,21.0,80.0,147.0,203.0,597.0
2009,116.0,13.0,2.0,5.0,,,2.0,1.0,26.0,89.0,181.0,224.0,659.0
2010,37.0,20.0,28.0,9.0,2.0,2.0,9.0,30.0,58.0,105.0,262.0,66.0,628.0
2011,15.0,3.0,5.0,,2.0,,,10.0,30.0,94.0,153.0,152.0,464.0
2012,66.0,16.0,12.0,4.0,17.0,5.0,4.0,28.0,36.0,75.0,90.0,79.0,432.0
2013,23.0,26.0,7.0,8.0,2.0,2.0,,3.0,6.0,63.0,71.0,39.0,250.0
2014,32.0,7.0,4.0,2.0,1.0,1.0,2.0,19.0,26.0,69.0,109.0,45.0,317.0
2015,38.0,14.0,3.0,5.0,4.0,6.0,3.0,16.0,33.0,115.0,87.0,78.0,402.0
2016,13.0,2.0,2.0,2.0,1.0,5.0,10.0,23.0,38.0,109.0,98.0,75.0,378.0
2017,27.0,13.0,3.0,6.0,2.0,2.0,3.0,14.0,28.0,84.0,103.0,66.0,351.0
2018,23.0,6.0,12.0,3.0,1.0,6.0,8.0,47.0,71.0,87.0,128.0,64.0,456.0
2019,20.0,5.0,2.0,1.0,,1.0,4.0,52.0,81.0,235.0,230.0,99.0,730.0
2020,37.0,5.0,3.0,2.0,,1.0,7.0,30.0,106.0,175.0,143.0,155.0,664.0
2021,63.0,39.0,16.0,10.0,7.0,14.0,7.0,21.0,38.0,122.0,136.0,90.0,563.0
2022,15.0,3.0,3.0,1.0,2.0,2.0,1.0,13.0,46.0,129.0,97.0,99.0,411.0
2023,39.0,19.0,1.0,1.0,3.0,6.0,10.0,19.0,65.0,180.0,149.0,87.0,579.0
2024,40.0,15.0,9.0,4.0,7.0,1.0,18.0,27.0,48.0,118.0,181.0,156.0,624.0
2025,51.0,17.0,18.0,24.0,15.0,17.0,8.0,24.0,56.0,93.0,,,323.0
Máximo*,161.0,51.0,28.0,21.0,56.0,14.0,23.0,108.0,118.0,344.0,462.0,344.0,1547.0
Média*,48.0,16.0,8.0,5.0,7.0,4.0,7.0,27.0,49.0,117.0,153.0,125.0,560.0
Mínimo*,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,28.0,9.0,11.0,145.0
