,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,,,9.0,60.0,169.0,28.0,605.0,871.0
1999,63.0,35.0,38.0,12.0,13.0,9.0,10.0,24.0,19.0,56.0,103.0,1110.0,1492.0
2000,126.0,43.0,51.0,1.0,4.0,,6.0,18.0,27.0,10.0,18.0,80.0,384.0
2001,12.0,32.0,11.0,3.0,4.0,1.0,6.0,36.0,2.0,13.0,49.0,80.0,249.0
2002,263.0,38.0,26.0,6.0,7.0,4.0,405.0,1482.0,853.0,31.0,138.0,108.0,3361.0
2003,91.0,18.0,50.0,133.0,179.0,104.0,687.0,2728.0,1163.0,595.0,209.0,175.0,6132.0
2004,108.0,103.0,225.0,218.0,58.0,260.0,539.0,1142.0,643.0,992.0,273.0,168.0,4729.0
2005,186.0,54.0,183.0,81.0,144.0,127.0,296.0,824.0,430.0,119.0,290.0,133.0,2867.0
2006,64.0,63.0,128.0,172.0,267.0,115.0,615.0,1537.0,728.0,213.0,136.0,78.0,4116.0
2007,61.0,41.0,34.0,115.0,89.0,156.0,375.0,823.0,749.0,151.0,118.0,110.0,2822.0
2008,71.0,47.0,70.0,182.0,226.0,113.0,439.0,466.0,273.0,214.0,107.0,152.0,2360.0
2009,88.0,26.0,82.0,302.0,271.0,118.0,267.0,1520.0,91.0,187.0,12.0,24.0,2988.0
2010,42.0,29.0,43.0,107.0,28.0,39.0,196.0,1086.0,458.0,178.0,134.0,175.0,2515.0
2011,26.0,20.0,53.0,88.0,83.0,109.0,188.0,284.0,785.0,109.0,152.0,82.0,1979.0
2012,79.0,43.0,100.0,61.0,247.0,233.0,439.0,665.0,198.0,134.0,85.0,38.0,2322.0
2013,47.0,51.0,56.0,98.0,58.0,41.0,196.0,372.0,356.0,113.0,102.0,57.0,1547.0
2014,38.0,27.0,52.0,64.0,60.0,63.0,206.0,1200.0,212.0,97.0,54.0,31.0,2104.0
2015,29.0,34.0,70.0,166.0,166.0,70.0,59.0,381.0,185.0,63.0,20.0,35.0,1278.0
2016,60.0,47.0,33.0,26.0,39.0,311.0,942.0,1182.0,629.0,84.0,97.0,77.0,3527.0
2017,26.0,31.0,39.0,61.0,41.0,96.0,707.0,633.0,278.0,85.0,139.0,82.0,2218.0
2018,45.0,72.0,74.0,86.0,108.0,62.0,78.0,707.0,222.0,69.0,47.0,45.0,1615.0
2019,33.0,48.0,94.0,54.0,26.0,134.0,379.0,1647.0,523.0,104.0,53.0,101.0,3196.0
2020,32.0,89.0,227.0,457.0,423.0,158.0,201.0,1404.0,263.0,196.0,110.0,52.0,3612.0
2021,54.0,49.0,91.0,229.0,290.0,46.0,504.0,600.0,183.0,167.0,145.0,87.0,2445.0
2022,174.0,135.0,71.0,56.0,36.0,33.0,106.0,508.0,119.0,160.0,131.0,106.0,1635.0
2023,64.0,94.0,107.0,137.0,127.0,80.0,221.0,812.0,34.0,61.0,57.0,31.0,1825.0
2024,21.0,54.0,48.0,24.0,8.0,80.0,279.0,726.0,233.0,50.0,26.0,23.0,1572.0
2025,75.0,73.0,93.0,160.0,133.0,25.0,288.0,467.0,140.0,73.0,,,1527.0
Máximo*,263.0,135.0,227.0,457.0,423.0,311.0,942.0,2728.0,1163.0,992.0,290.0,1110.0,6132.0
Média*,73.0,51.0,79.0,113.0,115.0,102.0,321.0,845.0,360.0,164.0,105.0,142.0,2436.0
Mínimo*,12.0,18.0,11.0,1.0,4.0,1.0,6.0,9.0,2.0,10.0,12.0,23.0,249.0
