,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,27.0,366.0,2254.0,3756.0,486.0,3.0,33.0,6925.0
1999,1.0,1.0,8.0,3.0,3.0,10.0,135.0,1977.0,3059.0,1884.0,41.0,,7122.0
2000,,6.0,9.0,,15.0,54.0,120.0,2200.0,2440.0,641.0,13.0,7.0,5505.0
2001,,2.0,,,7.0,31.0,74.0,2133.0,1929.0,797.0,92.0,1.0,5066.0
2002,6.0,8.0,1.0,3.0,15.0,143.0,741.0,5484.0,15903.0,5410.0,875.0,102.0,28691.0
2003,69.0,14.0,12.0,18.0,102.0,230.0,1682.0,9052.0,10782.0,7593.0,750.0,253.0,30557.0
2004,31.0,16.0,28.0,27.0,32.0,297.0,1734.0,9259.0,23419.0,5089.0,681.0,268.0,40881.0
2005,122.0,41.0,16.0,26.0,61.0,261.0,1947.0,12801.0,20907.0,4718.0,671.0,78.0,41649.0
2006,14.0,19.0,15.0,9.0,105.0,232.0,1057.0,6348.0,14939.0,1895.0,1028.0,41.0,25702.0
2007,44.0,5.0,27.0,10.0,65.0,314.0,587.0,6769.0,14051.0,5343.0,235.0,50.0,27500.0
2008,6.0,12.0,2.0,12.0,20.0,79.0,475.0,2840.0,5122.0,2548.0,420.0,24.0,11560.0
2009,25.0,2.0,15.0,6.0,10.0,26.0,133.0,609.0,2426.0,1910.0,214.0,25.0,5401.0
2010,26.0,9.0,13.0,43.0,70.0,223.0,871.0,5837.0,7575.0,1724.0,351.0,228.0,16970.0
2011,2.0,11.0,6.0,12.0,59.0,169.0,320.0,1358.0,2460.0,1281.0,357.0,45.0,6080.0
2012,6.0,9.0,20.0,21.0,35.0,55.0,253.0,2561.0,3141.0,1866.0,271.0,74.0,8312.0
2013,16.0,8.0,30.0,27.0,19.0,32.0,159.0,1102.0,2472.0,510.0,103.0,135.0,4613.0
2014,11.0,4.0,11.0,16.0,26.0,99.0,209.0,2846.0,2806.0,978.0,187.0,141.0,7334.0
2015,24.0,17.0,10.0,12.0,13.0,120.0,417.0,3669.0,5200.0,2470.0,901.0,260.0,13113.0
2016,85.0,71.0,30.0,56.0,52.0,174.0,947.0,3551.0,3916.0,2041.0,413.0,138.0,11474.0
2017,43.0,15.0,23.0,20.0,29.0,152.0,1007.0,3249.0,4568.0,1726.0,423.0,58.0,11313.0
2018,15.0,7.0,28.0,7.0,41.0,148.0,769.0,1975.0,6034.0,986.0,198.0,47.0,10255.0
2019,33.0,22.0,28.0,26.0,50.0,170.0,780.0,5593.0,3644.0,556.0,263.0,65.0,11230.0
2020,56.0,39.0,38.0,33.0,58.0,138.0,428.0,3087.0,4202.0,2413.0,509.0,144.0,11145.0
2021,47.0,16.0,19.0,16.0,91.0,131.0,836.0,4319.0,2636.0,1763.0,125.0,31.0,10030.0
2022,80.0,17.0,17.0,24.0,136.0,106.0,555.0,3512.0,5354.0,822.0,1767.0,70.0,12460.0
2023,42.0,28.0,38.0,30.0,50.0,88.0,460.0,1715.0,2651.0,1140.0,996.0,179.0,7417.0
2024,39.0,47.0,79.0,49.0,68.0,183.0,1618.0,4522.0,2739.0,1203.0,107.0,38.0,10692.0
2025,28.0,25.0,15.0,10.0,28.0,49.0,176.0,668.0,388.0,340.0,,,1727.0
Máximo*,122.0,71.0,79.0,56.0,136.0,314.0,1947.0,12801.0,23419.0,7593.0,1767.0,268.0,41649.0
Média*,35.0,17.0,21.0,21.0,47.0,137.0,692.0,4097.0,6597.0,2215.0,444.0,98.0,14407.0
Mínimo*,1.0,1.0,1.0,3.0,3.0,10.0,74.0,609.0,1929.0,486.0,3.0,1.0,4613.0
