,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,,1.0,,2.0,1.0,1.0,16.0,21.0
1999,15.0,20.0,98.0,16.0,,3.0,4.0,1.0,3.0,10.0,15.0,35.0,220.0
2000,18.0,57.0,125.0,,7.0,,,9.0,12.0,25.0,32.0,77.0,362.0
2001,101.0,646.0,1107.0,380.0,9.0,1.0,1.0,4.0,1.0,13.0,76.0,76.0,2415.0
2002,302.0,476.0,819.0,41.0,,,11.0,18.0,91.0,238.0,188.0,282.0,2466.0
2003,761.0,1063.0,1486.0,354.0,6.0,4.0,,6.0,8.0,24.0,52.0,223.0,3987.0
2004,522.0,349.0,449.0,262.0,9.0,9.0,2.0,22.0,15.0,71.0,210.0,301.0,2221.0
2005,155.0,207.0,441.0,56.0,6.0,10.0,8.0,16.0,108.0,121.0,175.0,158.0,1461.0
2006,98.0,441.0,524.0,376.0,5.0,,1.0,21.0,56.0,161.0,96.0,410.0,2189.0
2007,288.0,1347.0,927.0,184.0,2.0,3.0,15.0,4.0,19.0,69.0,357.0,29.0,3244.0
2008,371.0,223.0,702.0,278.0,22.0,3.0,,13.0,30.0,112.0,165.0,31.0,1950.0
2009,65.0,212.0,293.0,279.0,277.0,19.0,21.0,41.0,148.0,261.0,394.0,349.0,2359.0
2010,457.0,634.0,536.0,19.0,6.0,1.0,2.0,7.0,27.0,87.0,39.0,103.0,1918.0
2011,307.0,140.0,158.0,156.0,9.0,9.0,10.0,47.0,66.0,81.0,181.0,311.0,1475.0
2012,239.0,172.0,183.0,49.0,21.0,29.0,3.0,8.0,89.0,201.0,257.0,125.0,1376.0
2013,482.0,71.0,265.0,113.0,6.0,6.0,4.0,4.0,39.0,116.0,125.0,164.0,1395.0
2014,557.0,332.0,603.0,183.0,63.0,5.0,9.0,16.0,80.0,65.0,197.0,409.0,2519.0
2015,411.0,571.0,175.0,307.0,14.0,5.0,5.0,14.0,86.0,194.0,298.0,372.0,2452.0
2016,1958.0,185.0,1195.0,154.0,22.0,10.0,1.0,17.0,18.0,107.0,69.0,134.0,3870.0
2017,108.0,124.0,251.0,75.0,27.0,4.0,3.0,33.0,40.0,150.0,421.0,329.0,1565.0
2018,480.0,558.0,727.0,191.0,10.0,5.0,4.0,7.0,17.0,141.0,120.0,123.0,2383.0
2019,383.0,629.0,2433.0,1134.0,21.0,2.0,4.0,5.0,26.0,53.0,58.0,36.0,4784.0
2020,297.0,483.0,695.0,165.0,11.0,4.0,9.0,14.0,62.0,113.0,19.0,58.0,1930.0
2021,63.0,137.0,204.0,110.0,3.0,11.0,5.0,19.0,54.0,125.0,174.0,84.0,989.0
2022,371.0,148.0,81.0,7.0,11.0,9.0,12.0,40.0,92.0,117.0,128.0,207.0,1223.0
2023,324.0,168.0,505.0,212.0,49.0,3.0,12.0,78.0,194.0,409.0,468.0,237.0,2659.0
2024,604.0,2057.0,1429.0,519.0,14.0,4.0,3.0,41.0,80.0,122.0,206.0,279.0,5358.0
2025,384.0,83.0,390.0,26.0,1.0,13.0,18.0,37.0,108.0,81.0,,,1141.0
Máximo*,1958.0,2057.0,2433.0,1134.0,277.0,29.0,21.0,78.0,194.0,409.0,468.0,410.0,5358.0
Média*,374.0,440.0,631.0,225.0,26.0,7.0,6.0,19.0,54.0,118.0,167.0,184.0,2177.0
Mínimo*,15.0,20.0,81.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,21.0
