,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,2.0,,,6.0,4.0,21.0,26.0,59.0
1999,11.0,2.0,7.0,,1.0,,2.0,51.0,101.0,16.0,84.0,89.0,364.0
2000,14.0,8.0,46.0,7.0,,2.0,21.0,68.0,36.0,55.0,19.0,29.0,305.0
2001,11.0,,1.0,1.0,2.0,1.0,5.0,25.0,18.0,26.0,66.0,45.0,201.0
2002,22.0,5.0,12.0,7.0,3.0,,323.0,1263.0,1189.0,74.0,554.0,143.0,3595.0
2003,92.0,64.0,111.0,290.0,492.0,339.0,414.0,2611.0,1641.0,883.0,482.0,229.0,7648.0
2004,63.0,64.0,141.0,185.0,40.0,369.0,243.0,1357.0,943.0,1056.0,454.0,115.0,5030.0
2005,61.0,79.0,189.0,116.0,175.0,197.0,392.0,1357.0,208.0,225.0,500.0,83.0,3582.0
2006,74.0,35.0,90.0,227.0,346.0,220.0,707.0,1862.0,769.0,379.0,212.0,65.0,4986.0
2007,27.0,37.0,68.0,47.0,36.0,162.0,186.0,848.0,771.0,245.0,164.0,98.0,2689.0
2008,37.0,59.0,32.0,59.0,217.0,76.0,438.0,585.0,399.0,78.0,132.0,133.0,2245.0
2009,40.0,18.0,65.0,139.0,102.0,77.0,76.0,1133.0,82.0,286.0,67.0,36.0,2121.0
2010,6.0,19.0,25.0,36.0,3.0,40.0,171.0,1111.0,377.0,191.0,118.0,66.0,2163.0
2011,20.0,1.0,18.0,21.0,85.0,121.0,81.0,350.0,772.0,151.0,100.0,52.0,1772.0
2012,25.0,34.0,111.0,57.0,160.0,111.0,102.0,718.0,274.0,63.0,120.0,45.0,1820.0
2013,27.0,11.0,30.0,105.0,98.0,81.0,215.0,454.0,370.0,116.0,80.0,76.0,1663.0
2014,51.0,25.0,17.0,35.0,40.0,3.0,83.0,521.0,202.0,123.0,45.0,35.0,1180.0
2015,18.0,15.0,31.0,36.0,70.0,101.0,46.0,382.0,160.0,21.0,8.0,18.0,906.0
2016,64.0,2.0,20.0,33.0,36.0,104.0,610.0,795.0,677.0,56.0,144.0,20.0,2561.0
2017,46.0,27.0,20.0,28.0,35.0,66.0,461.0,558.0,491.0,40.0,164.0,69.0,2005.0
2018,9.0,48.0,22.0,150.0,77.0,52.0,161.0,574.0,126.0,74.0,53.0,71.0,1417.0
2019,41.0,10.0,22.0,12.0,3.0,104.0,189.0,939.0,272.0,68.0,63.0,81.0,1804.0
2020,35.0,36.0,132.0,308.0,286.0,102.0,89.0,977.0,203.0,172.0,69.0,16.0,2425.0
2021,5.0,63.0,68.0,199.0,181.0,26.0,481.0,843.0,271.0,20.0,108.0,86.0,2351.0
2022,42.0,80.0,30.0,76.0,87.0,40.0,230.0,425.0,69.0,81.0,172.0,28.0,1360.0
2023,35.0,35.0,58.0,59.0,200.0,149.0,114.0,473.0,89.0,21.0,61.0,47.0,1341.0
2024,26.0,55.0,58.0,57.0,9.0,132.0,247.0,727.0,347.0,95.0,29.0,19.0,1801.0
2025,75.0,41.0,131.0,61.0,132.0,17.0,350.0,289.0,154.0,126.0,,,1376.0
Máximo*,92.0,80.0,189.0,308.0,492.0,369.0,707.0,2611.0,1641.0,1056.0,554.0,229.0,7648.0
Média*,35.0,33.0,55.0,92.0,111.0,107.0,234.0,808.0,402.0,171.0,151.0,67.0,2200.0
Mínimo*,5.0,1.0,1.0,1.0,1.0,1.0,2.0,25.0,6.0,4.0,8.0,16.0,59.0
