,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,451.0,597.0,580.0,525.0,433.0,487.0,121.0,3194.0
1999,7.0,47.0,78.0,291.0,500.0,522.0,683.0,1210.0,910.0,763.0,400.0,47.0,5458.0
2000,36.0,25.0,27.0,102.0,300.0,605.0,770.0,915.0,581.0,647.0,96.0,23.0,4127.0
2001,26.0,25.0,35.0,61.0,211.0,345.0,539.0,587.0,423.0,441.0,168.0,52.0,2913.0
2002,19.0,19.0,111.0,178.0,319.0,562.0,645.0,909.0,483.0,699.0,129.0,77.0,4150.0
2003,67.0,184.0,96.0,165.0,385.0,757.0,885.0,1194.0,1104.0,475.0,207.0,78.0,5597.0
2004,56.0,91.0,122.0,112.0,215.0,448.0,529.0,1012.0,1104.0,248.0,230.0,166.0,4333.0
2005,24.0,131.0,130.0,213.0,401.0,396.0,525.0,1161.0,291.0,264.0,206.0,90.0,3832.0
2006,107.0,91.0,186.0,285.0,587.0,667.0,1011.0,1096.0,840.0,233.0,170.0,94.0,5367.0
2007,43.0,179.0,267.0,202.0,392.0,611.0,423.0,754.0,779.0,601.0,130.0,95.0,4476.0
2008,47.0,34.0,110.0,132.0,282.0,178.0,579.0,489.0,589.0,120.0,86.0,150.0,2796.0
2009,33.0,87.0,106.0,199.0,219.0,231.0,159.0,347.0,148.0,105.0,81.0,48.0,1763.0
2010,56.0,183.0,153.0,148.0,254.0,635.0,943.0,2444.0,1923.0,327.0,153.0,72.0,7291.0
2011,75.0,76.0,46.0,76.0,217.0,318.0,581.0,1159.0,1211.0,250.0,110.0,64.0,4183.0
2012,49.0,107.0,138.0,121.0,108.0,63.0,235.0,521.0,908.0,259.0,74.0,79.0,2662.0
2013,51.0,100.0,60.0,172.0,170.0,70.0,243.0,602.0,590.0,133.0,105.0,92.0,2388.0
2014,66.0,94.0,58.0,93.0,178.0,312.0,462.0,1440.0,843.0,850.0,48.0,40.0,4484.0
2015,82.0,37.0,45.0,70.0,63.0,144.0,139.0,627.0,344.0,199.0,18.0,40.0,1808.0
2016,56.0,107.0,65.0,293.0,138.0,196.0,734.0,840.0,506.0,172.0,35.0,44.0,3186.0
2017,21.0,88.0,76.0,37.0,45.0,152.0,616.0,734.0,1930.0,134.0,35.0,34.0,3902.0
2018,41.0,26.0,124.0,85.0,317.0,292.0,1070.0,350.0,598.0,27.0,16.0,73.0,3019.0
2019,90.0,35.0,85.0,78.0,81.0,290.0,393.0,742.0,872.0,308.0,60.0,40.0,3074.0
2020,69.0,103.0,127.0,252.0,262.0,262.0,558.0,1111.0,2254.0,995.0,115.0,15.0,6123.0
2021,29.0,72.0,98.0,69.0,140.0,136.0,808.0,2277.0,1663.0,95.0,41.0,41.0,5469.0
2022,76.0,120.0,64.0,47.0,139.0,90.0,345.0,315.0,258.0,62.0,49.0,34.0,1599.0
2023,62.0,36.0,109.0,22.0,145.0,134.0,253.0,352.0,375.0,58.0,54.0,66.0,1666.0
2024,75.0,93.0,138.0,63.0,398.0,532.0,499.0,3612.0,2522.0,714.0,25.0,41.0,8712.0
2025,66.0,63.0,34.0,17.0,60.0,55.0,245.0,494.0,1011.0,207.0,,,2252.0
Máximo*,107.0,184.0,267.0,293.0,587.0,757.0,1070.0,3612.0,2522.0,995.0,487.0,166.0,8712.0
Média*,52.0,84.0,102.0,137.0,249.0,348.0,564.0,1014.0,910.0,356.0,123.0,67.0,3984.0
Mínimo*,7.0,19.0,27.0,22.0,45.0,63.0,139.0,315.0,148.0,27.0,16.0,15.0,1599.0
