,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,,,,,,12.0,8.0,20.0
1999,36.0,25.0,18.0,6.0,,,,,,,3.0,5.0,93.0
2000,1.0,6.0,6.0,1.0,,,,,,3.0,,,17.0
2001,2.0,2.0,1.0,,3.0,,,,1.0,5.0,5.0,5.0,24.0
2002,1.0,6.0,7.0,12.0,,,,2.0,2.0,20.0,69.0,126.0,245.0
2003,210.0,63.0,76.0,51.0,5.0,,3.0,,6.0,4.0,5.0,45.0,468.0
2004,21.0,17.0,62.0,21.0,13.0,,,1.0,1.0,2.0,53.0,97.0,288.0
2005,111.0,40.0,44.0,13.0,1.0,,,,2.0,13.0,27.0,42.0,293.0
2006,40.0,52.0,68.0,11.0,,,,2.0,,5.0,10.0,38.0,226.0
2007,60.0,30.0,4.0,6.0,,1.0,,,,9.0,18.0,63.0,191.0
2008,113.0,77.0,51.0,7.0,2.0,,,1.0,,1.0,30.0,31.0,313.0
2009,78.0,72.0,42.0,20.0,,1.0,,,,2.0,11.0,27.0,253.0
2010,34.0,37.0,46.0,4.0,1.0,,,,,,20.0,23.0,165.0
2011,42.0,40.0,65.0,19.0,,2.0,2.0,2.0,,6.0,5.0,48.0,231.0
2012,40.0,36.0,87.0,40.0,16.0,3.0,1.0,,,,6.0,22.0,251.0
2013,32.0,47.0,59.0,14.0,2.0,1.0,,,1.0,3.0,6.0,9.0,174.0
2014,18.0,16.0,26.0,7.0,1.0,,,,1.0,3.0,8.0,9.0,89.0
2015,37.0,33.0,45.0,24.0,9.0,3.0,,,1.0,4.0,41.0,44.0,241.0
2016,7.0,15.0,25.0,13.0,9.0,,,2.0,2.0,7.0,18.0,36.0,134.0
2017,30.0,12.0,17.0,8.0,1.0,,,,,,1.0,8.0,77.0
2018,14.0,18.0,22.0,13.0,1.0,2.0,2.0,5.0,2.0,16.0,16.0,29.0,140.0
2019,31.0,13.0,12.0,2.0,4.0,,,,,1.0,2.0,16.0,81.0
2020,29.0,9.0,5.0,6.0,5.0,,,1.0,,4.0,3.0,15.0,77.0
2021,12.0,31.0,56.0,8.0,1.0,2.0,,,,5.0,7.0,10.0,132.0
2022,5.0,12.0,27.0,2.0,14.0,2.0,,1.0,4.0,6.0,1.0,11.0,85.0
2023,13.0,17.0,19.0,19.0,2.0,,1.0,,4.0,19.0,25.0,32.0,151.0
2024,19.0,13.0,26.0,5.0,3.0,,1.0,7.0,6.0,17.0,36.0,57.0,190.0
2025,47.0,16.0,28.0,37.0,7.0,,,1.0,,,,,136.0
Máximo*,210.0,77.0,87.0,51.0,16.0,3.0,3.0,7.0,6.0,20.0,69.0,126.0,468.0
Média*,40.0,28.0,35.0,13.0,5.0,2.0,2.0,2.0,3.0,7.0,17.0,33.0,172.0
Mínimo*,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,17.0
