,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,252.0,640.0,3748.0,5154.0,1736.0,1.0,9.0,11540.0
1999,36.0,1.0,1.0,9.0,25.0,114.0,373.0,1284.0,3421.0,1378.0,29.0,16.0,6687.0
2000,15.0,6.0,4.0,,69.0,280.0,503.0,1952.0,2552.0,1057.0,96.0,20.0,6554.0
2001,19.0,6.0,,19.0,49.0,303.0,834.0,2239.0,4845.0,682.0,100.0,21.0,9117.0
2002,36.0,48.0,33.0,39.0,139.0,397.0,1126.0,3313.0,6981.0,2137.0,226.0,72.0,14547.0
2003,51.0,12.0,21.0,81.0,293.0,869.0,1502.0,1553.0,5640.0,1772.0,197.0,133.0,12124.0
2004,41.0,9.0,32.0,122.0,558.0,1186.0,1541.0,2036.0,6748.0,2154.0,569.0,151.0,15147.0
2005,75.0,34.0,22.0,107.0,295.0,766.0,1558.0,2781.0,6319.0,3779.0,384.0,94.0,16214.0
2006,146.0,19.0,19.0,21.0,204.0,870.0,1031.0,2066.0,3831.0,1660.0,339.0,93.0,10299.0
2007,62.0,11.0,148.0,136.0,730.0,1450.0,1955.0,5963.0,10066.0,4366.0,411.0,91.0,25389.0
2008,45.0,14.0,4.0,63.0,250.0,769.0,1008.0,1679.0,2937.0,3547.0,371.0,66.0,10753.0
2009,67.0,32.0,36.0,16.0,103.0,441.0,1000.0,1141.0,2279.0,902.0,353.0,58.0,6428.0
2010,101.0,51.0,125.0,431.0,632.0,1783.0,2970.0,8299.0,11611.0,2635.0,365.0,97.0,29100.0
2011,25.0,13.0,36.0,120.0,379.0,788.0,1006.0,1582.0,4609.0,1741.0,203.0,135.0,10637.0
2012,14.0,51.0,83.0,243.0,487.0,940.0,1655.0,4269.0,7015.0,3874.0,243.0,170.0,19044.0
2013,59.0,37.0,63.0,162.0,411.0,895.0,1398.0,1805.0,2512.0,2194.0,320.0,79.0,9935.0
2014,90.0,55.0,41.0,172.0,585.0,1343.0,1364.0,2790.0,3339.0,3673.0,423.0,200.0,14075.0
2015,196.0,48.0,66.0,65.0,487.0,1118.0,1198.0,2451.0,4470.0,4518.0,770.0,318.0,15705.0
2016,30.0,318.0,132.0,340.0,725.0,1100.0,2607.0,3213.0,3073.0,2255.0,586.0,115.0,14494.0
2017,57.0,24.0,79.0,161.0,626.0,906.0,1823.0,2540.0,6625.0,2255.0,496.0,81.0,15673.0
2018,97.0,16.0,64.0,127.0,599.0,914.0,1321.0,1361.0,1796.0,1371.0,201.0,166.0,8033.0
2019,84.0,78.0,82.0,209.0,690.0,1406.0,1598.0,2916.0,4505.0,1462.0,376.0,219.0,13625.0
2020,75.0,77.0,111.0,221.0,446.0,1188.0,1361.0,1714.0,3977.0,2192.0,520.0,211.0,12093.0
2021,76.0,56.0,65.0,85.0,851.0,1149.0,1794.0,2757.0,1785.0,1213.0,131.0,45.0,10007.0
2022,57.0,62.0,49.0,134.0,1103.0,1370.0,1710.0,2298.0,2753.0,2327.0,185.0,97.0,12145.0
2023,59.0,104.0,77.0,179.0,697.0,1277.0,1525.0,1141.0,2681.0,1140.0,478.0,283.0,9641.0
2024,53.0,112.0,226.0,131.0,1332.0,1757.0,1922.0,2936.0,6704.0,1386.0,475.0,217.0,17251.0
2025,20.0,73.0,112.0,125.0,1062.0,1231.0,1375.0,1541.0,2651.0,1765.0,,,9955.0
Máximo*,196.0,318.0,226.0,431.0,1332.0,1783.0,2970.0,8299.0,11611.0,4518.0,770.0,318.0,29100.0
Média*,64.0,50.0,65.0,136.0,491.0,949.0,1419.0,2660.0,4749.0,2200.0,328.0,121.0,13195.0
Mínimo*,14.0,1.0,1.0,9.0,25.0,114.0,373.0,1141.0,1785.0,682.0,1.0,9.0,6428.0
